,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Commercial Paper,125600000.0,739500000.0,370500000.0,244100000.0,
Pensionand Other Post Retirement Benefit Plans Current,6400000.0,6400000.0,2300000.0,4300000.0,
Current Provisions,150100000.0,144800000.0,97700000.0,97700000.0,
Payables And Accrued Expenses,1944600000.0,1701200000.0,2286500000.0,2021100000.0,
Current Accrued Expenses,981000000.0,901900000.0,846900000.0,753900000.0,
Payables,963600000.0,799300000.0,1439600000.0,1267200000.0,
Dividends Payable,72600000.0,72500000.0,72700000.0,66800000.0,
Total Tax Payable,122500000.0,124400000.0,114700000.0,65400000.0,
Income Tax Payable,122500000.0,124400000.0,114700000.0,65400000.0,
Accounts Payable,768500000.0,602400000.0,1252200000.0,1135000000.0,
Total Assets,11653300000.0,11926200000.0,11171300000.0,10673100000.0,
Total Non Current Assets,6695000000.0,6797100000.0,5732700000.0,5619300000.0,
Other Non Current Assets,59400000.0,53600000.0,57400000.0,43500000.0,
Defined Pension Benefit,31700000.0,30700000.0,22400000.0,50400000.0,
Non Current Prepaid Assets,17400000.0,97100000.0,119400000.0,129000000.0,
Non Current Deferred Assets,1546100000.0,1360400000.0,233200000.0,215200000.0,
Non Current Deferred Taxes Assets,1523800000.0,1336600000.0,210700000.0,194100000.0,
Non Current Accounts Receivable,74900000.0,39200000.0,82000000.0,90800000.0,
Investments And Advances,25600000.0,19800000.0,14500000.0,9200000.0,
Goodwill And Other Intangible Assets,3979800000.0,4182000000.0,4230400000.0,4129000000.0,
Other Intangible Assets,2472800000.0,2588400000.0,2641100000.0,2665700000.0,
Goodwill,1507000000.0,1593600000.0,1589300000.0,1463300000.0,
Net PPE,960100000.0,1014300000.0,973400000.0,952200000.0,
Accumulated Depreciation,-748200000.0,-667300000.0,-565900000.0,-512500000.0,
Gross PPE,1708300000.0,1681600000.0,1539300000.0,1464700000.0,
Construction In Progress,206700000.0,204500000.0,175900000.0,145900000.0,
Other Properties,110400000.0,121800000.0,123800000.0,135200000.0,
Machinery Furniture Equipment,757700000.0,717200000.0,613100000.0,551400000.0,
Buildings And Improvements,537200000.0,540000000.0,522900000.0,528400000.0,
Land And Improvements,96300000.0,98100000.0,103600000.0,103800000.0,
Properties,0.0,0.0,0.0,0.0,
Current Assets,4958300000.0,5129100000.0,5438600000.0,5053800000.0,
Other Current Assets,174200000.0,136000000.0,145400000.0,41600000.0,
Hedging Assets Current,47000000.0,5700000.0,13200000.0,23400000.0,
Restricted Cash,,,,510300000.0,
Prepaid Assets,12700000.0,15300000.0,12600000.0,140200000.0,
Inventory,1201600000.0,1724600000.0,1651600000.0,1521900000.0,
Inventories Adjustments Allowances,,,,-116200000.0,-126600000.0
Finished Goods,433500000.0,643800000.0,577500000.0,559200000.0,
Work In Process,548600000.0,732200000.0,807400000.0,730800000.0,
Raw Materials,219500000.0,348600000.0,266700000.0,231900000.0,
Receivables,3165500000.0,2945100000.0,3043800000.0,2809900000.0,
Taxes Receivable,262300000.0,241900000.0,172400000.0,226200000.0,
Accounts Receivable,2903200000.0,2703200000.0,2871400000.0,2583700000.0,
Allowance For Doubtful Accounts Receivable,-39400000.0,-29100000.0,-33900000.0,-37400000.0,
Gross Accounts Receivable,2942600000.0,2732300000.0,2905300000.0,2621100000.0,
Cash Cash Equivalents And Short Term Investments,357300000.0,302400000.0,572000000.0,516800000.0,
Cash And Cash Equivalents,357300000.0,302400000.0,572000000.0,516800000.0,
